,region,org,doc,clusters
0,-1.2441465694866195e-15,-6.15491094274051e-16,1.3572842770817862e-16,0
1,0.04012374922773749,0.35269727332273004,0.09974496358663486,1
2,0.047330534311441436,0.4543355936920146,0.08992887563897892,2
3,0.04904746089418138,0.45547416208068875,0.09582217582230373,3
4,0.09424481112129961,0.47252030924656324,0.09197041170038225,4
5,0.11958159533310317,0.541285855239565,0.057026574650171864,5
6,0.12835503134789755,0.5389669759675157,0.06229067719018045,6
7,0.16243604153233895,0.541696246190631,0.062100783841676215,7
8,0.18008274320691572,0.5410114007160902,0.06233795572122139,8
9,0.15997248730999616,0.5188674380105409,0.07637819291904005,9
10,0.1811630739468104,0.533776429184207,0.07168128772877261,10
11,0.1746529839170535,0.5191770788851795,0.07348052486816953,11
12,0.16163550963253032,0.5060458914705276,0.0873621771132244,12
13,0.16977567100007765,0.4852205871774657,0.08643425724118083,13
14,0.18700287369722063,0.5113191654100029,0.08443464712194242,14
